Query,Response,Time_taken
What is a stablecoin?,{'answer': 'no answer'},0:00:41.492917
What is a central bank digital currency (CBDC)?,{'answer': 'No answer'},0:00:55.797707
What is the difference between a cryptocurrency and a CBDC?,{'answer': 'no answer'},0:00:29.019205
What is financial technology (FinTech)?,{'answer': 'no answer'},0:00:37.720564
What is peer-to-peer (P2P) lending?,{'answer': 'No answer'},0:00:40.826704
What is crowdfunding?,"{'answer': 'Crowdfunding originates from the practice of getting multiple people to invest, each recruiting more individuals.'}",0:00:37.896573
What is robo-advising?,{'answer': 'no answer'},0:00:44.063356
What is a payment gateway?,{'answer': 'no answer'},0:00:28.806895
What is a digital wallet?,"{'answer': 'A digital wallet refers to an electronic device or online service that allows individuals to make electronic transactions, such as those involving debit or credit cards, through the internet. It often includes features like storing payment information and managing financial records.'}",0:00:43.839040
What is a blockchain fork?,{'answer': 'no answer'},0:00:37.783231
What is a public key and a private key?,{'answer': 'no answer'},0:00:46.215487
What is tokenization?,{'answer': 'no answer'},0:00:25.808351
What is a decentralized autonomous organization (DAO)?,{'answer': 'no answer'},0:00:34.452725
What is yield farming in DeFi?,{'answer': 'no answer'},0:00:27.543253
What is a non-fungible token (NFT)?,{'answer': 'no answer'},0:00:43.489144
What is a hard fork?,{'answer': 'no answer'},0:00:22.399647
What is a stock?,"{'answer': 'A stock represents a proportional share of ownership in a company, typically evidenced by a stock certificate that grants the owner certain rights. Stocks are traded on specialized marketplaces known as stock exchanges.'}",0:00:36.893304
What are bonds?,"{'answer': 'In finance, a bond is a debt agreement that holds lender and borrower together in shared financial fate. Investors buy bonds to participate in economic growth as lenders, offering less risk compared to shareholders.'}",0:00:35.193874
What is a mutual fund?,{'answer': 'A mutual fund is an investment portfolio consisting of securities that an individual investor can invest in all at once without having to buy each investment individually.'},0:00:33.364462
What is an ETF?,"{'answer': 'An Exchange-Traded Fund (ETF) is a type of investment fund and exchange-traded product, structured like closed-end funds but traded on stock exchanges like individual securities. They can be bought or sold throughout the day at market prices, offer diversification within sectors or countries, and are based on indexes.'}",0:00:44.549196
What is the difference between a stock and a bond?,"{'answer': 'Stocks represent ownership in a company and can be volatile, while bonds are loans to an organization that typically offer more stable returns.'}",0:00:31.194379
What is the primary market?,"{'answer': 'The primary market is where companies sell stock for the first time to investors, and it is typically facilitated by an issuer who generally fixes the price.'}",0:00:30.048683
What is the secondary market?,"{'answer': 'The secondary market refers to transactions between subsequent sellers and buyers after a company has gone public, where its stock becomes outstanding or publicly available for trading. It increases liquidity, lowers risk, and transaction costs.'}",0:00:33.367329
What is a stock exchange?,"{'answer': 'A stock exchange is a specialized marketplace where shares of publicly traded companies are bought and sold, efficiently conducting millions of transactions each day.'}",0:00:36.273292
What is a dividend?,{'answer': 'A dividend is the return on investment that comes as cash while you own the stock.'},0:00:30.298932
What is a yield?,"{'answer': 'Yield refers to the rate of return on an investment such as a bond, expressed as an annual percentage of the amount invested. It can be measured in two ways: current yield and yield to maturity.'}",0:00:36.206902
What is a mutual fund's NAV?,"{'answer': ""A mutual fund's Net Asset Value (NAV) is the price per share, calculated daily based on the closing prices of the securities within the fund. It represents the market value of each share as determined by the fund’s assets and liabilities and the number of shares that exist.""}",0:00:47.791120
What is an IPO?,"{'answer': 'An IPO (Initial Public Offering) is issued when a company sells stocks to the public for the first time, allowing investors to purchase shares.'}",0:00:39.856028
What is a bull market?,{'answer': 'no answer'},0:00:33.053846
What is a bear market?,"{'answer': 'A bear market refers to a period when securities prices fall and widespread pessimism causes the negative sentiment to be self-sustaining, often leading investors to sell off their holdings. Inverse funds or bear funds are designed to increase in value during such periods.'}",0:00:30.730942
What is market capitalization?,"{'answer': ""Market capitalization refers to the total value of a company's outstanding shares of stock, calculated by multiplying the current share price by the total number of shares.""}",0:00:31.438280
What is the P/E ratio?,"{'answer': 'The Price-to-Earnings (P/E) ratio is calculated by dividing the price per share by the earnings per share, indicating how much investment is needed for every dollar of return that a stock creates.'}",0:00:44.870216
What is the difference between technical and fundamental analysis?,"{'answer': ""Technical analysis involves analyzing securities based on their historical price patterns, often using charts of market data like price and volume. Fundamental analysis focuses on evaluating a security's intrinsic value by examining economic, industry, and company-specific information.""}",0:00:34.713735
What is a hedge fund?,{'answer': 'no answer'},0:00:41.038375
What is an index fund?,{'answer': 'An index fund is a mutual fund designed to replicate the performance of an asset class or selection of investments listed on an index.'},0:00:32.518052
What is an option?,"{'answer': 'An option is a type of financial contract without obligation that gives the holder the right, but not the obligation, to buy or sell a specified financial asset at a pre-agreed price on or before a given date.'}",0:00:46.310776
