Query,Response,Time_taken
What is a zero-coupon bond?,"{'answer': 'A zero-coupon bond offers the lowest coupon rate possible: zero, meaning it pays no interest and repays only its face value at maturity.'}",0:00:46.033615
What is a junk bond?,"{'answer': 'Junk bonds are speculative grade bonds that may not be considered valuable or issued by reputable companies, but they can still hold potential for investors. They are best suited to big investors, though some mutual funds also invest in them, making them accessible to smaller investors.'}",0:00:33.377633
What is a credit rating?,"{'answer': 'A credit rating, also known as a credit score, is calculated by banks and other lenders to determine whether to lend you, how much to lend, and the interest rate. It assesses your financial reliability based on factors such as payment history and debt levels.'}",0:00:46.460607
What is the difference between investment-grade bonds and high-yield bonds?,"{'answer': 'Investment-grade bonds are considered lower risk, offering a stable income but typically have lower yields. High-yield bonds, also known as junk bonds, carry higher risks due to their speculative grade status and offer higher returns.'}",0:00:51.160655
What is the duration of a bond?,"{'answer': 'The duration of a bond can vary depending on its terms to maturity; generally, longer-term bonds are considered riskier due to potential impacts from interest rate changes, inflation, or business cycles.'}",0:00:39.649339
What is convexity in bonds?,{'answer': 'no answer'},0:00:39.278676
What is a callable bond?,"{'answer': 'A callable bond allows the issuer to redeem it before its maturity date, often referred to as being paid off early.'}",0:00:37.868614
What is a puttable bond?,{'answer': 'no answer'},0:00:45.333237
What is a sinking fund?,"{'answer': 'A sinking fund refers to the practice of setting aside money over time for future payments or debt repayment, rather than investing it.'}",0:00:46.581435
What is the difference between a nominal interest rate and a real interest rate?,"{'answer': 'The nominal interest rate refers to the stated or face interest rate on a loan, while the real interest rate adjusts the nominal rate for inflation. The real interest rate reflects the true cost of borrowing and is calculated by subtracting the inflation rate from the nominal interest rate.'}",0:00:33.895114
What is inflation?,"{'answer': 'Inflation is defined as the increase in prices of goods and services over time, leading to a decrease in purchasing power when money loses value due to rising costs.'}",0:00:31.191129
What is deflation?,"{'answer': 'Deflation is a negative inflation rate that falls below 0%, indicating the declining price of goods and services, often occurring during economic recessions due to factors like decreasing money supply, government expenses, consumer demand, and business investment. However, it increases the value of money, allowing consumers to purchase more with the same amount.'}",0:00:39.336615
